Bucket,IFSAC Label
pogona,wild animal
girrafe,wild animal
veggie booty,vegetables
ukazi,vegetable row crops (leafy)
macdamia,nuts
teriyaki,multi-ingredient
taquitos,multi-ingredient
sub,multi-ingredient
dinner,multi-ingredient
kafta,meat
mucuna pruriens,herbs
bitterleaf,herbs
arnica,herbs
siluriform,fish
finfish,fish
codfish,fish
wheels,environmental-factory/production facility
wheel,environmental-factory/production facility
washroom,environmental-factory/production facility
valf,environmental-factory/production facility
utensils,environmental-factory/production facility
utensil,environmental-factory/production facility
ultrafiltration backflush,environmental-factory/production facility
trolley,environmental-factory/production facility
tray,environmental-factory/production facility
transport rack,environmental-factory/production facility
traffic pathway,environmental-factory/production facility
toolbox,environmental-factory/production facility
tool,environmental-factory/production facility
switch,environmental-factory/production facility
surface computer screen,environmental-factory/production facility
surface,environmental-factory/production facility
strainer,environmental-factory/production facility
storage hopper,environmental-factory/production facility
step to mixer,environmental-factory/production facility
squeegie,environmental-factory/production facility
squeegee,environmental-factory/production facility
spongesicles,environmental-factory/production facility
sponge of conveyor belt,environmental-factory/production facility
sponge enrichment,environmental-factory/production facility
sponge,environmental-factory/production facility
spinner,environmental-factory/production facility
slicer conveyor,environmental-factory/production facility
slicer,environmental-factory/production facility
sink interior,environmental-factory/production facility
sink handle,environmental-factory/production facility
screen,environmental-factory/production facility
scraper near floor,environmental-factory/production facility
rough floor seam,environmental-factory/production facility
restroom,environmental-factory/production facility
refuse,environmental-factory/production facility
rack,environmental-factory/production facility
pvc piping,environmental-factory/production facility
pump,environmental-factory/production facility
production facility,environmental-factory/production facility
product hopper,environmental-factory/production facility
product discharge chute,environmental-factory/production facility
processing equipment,environmental-factory/production facility
processing environment,environmental-factory/production facility
press,environmental-factory/production facility
pipeline interior,environmental-factory/production facility
picnic pack,environmental-factory/production facility
peeler,environmental-factory/production facility
pallet & floor,environmental-factory/production facility
pallet,environmental-factory/production facility
packing machine,environmental-factory/production facility
overhead piping,environmental-factory/production facility
overhead pipe,environmental-factory/production facility
operational sponge,environmental-factory/production facility
mop,environmental-factory/production facility
mixer surface,environmental-factory/production facility
milking equipment,environmental-factory/production facility
maintenance tool,environmental-factory/production facility
loading dock,environmental-factory/production facility
livestock trailer floor,environmental-abattoir
knife,environmental-factory/production facility
irrigation,environmental-factory/production facility
incubator,environmental-factory/production facility
hose,environmental-factory/production facility
hopper,environmental-factory/production facility
holding vat and tank,environmental-factory/production facility
hind end,environmental-factory/production facility
hatchery,environmental-factory/production facility
hallway,environmental-factory/production facility
from manufacturing process,environmental-factory/production facility
freezer surface,environmental-factory/production facility
freezer,environmental-factory/production facility
forklift,environmental-factory/production facility
floor under shelving,environmental-factory/production facility
floor seam in cooler,environmental-factory/production facility
floor scrubber,environmental-factory/production facility
floor or floor mat-entrance,environmental-factory/production facility
floor mat,environmental-factory/production facility
floor juncture,environmental-factory/production facility
floor crack,environmental-factory/production facility
floor cleaning tool,environmental-factory/production facility
floor,environmental-factory/production facility
filter,environmental-factory/production facility
filler hopper,environmental-factory/production facility
filler,environmental-factory/production facility
feeder,environmental-abattoir
facility,environmental-factory/production facility
evironmental sponge,environmental-factory/production facility
equipment housing,environmental-factory/production facility
equipment framework,environmental-factory/production facility
equipment control panel,environmental-factory/production facility
equipment,environmental-factory/production facility
environmental surface wipe,environmental-factory/production facility
environmental sponges from cooler,environmental-factory/production facility
environmental sponges,environmental-factory/production facility
environmental sponge sticks,environmental-factory/production facility
environmental sponge stick,environmental-factory/production facility
environmental sponge from scissors,environmental-factory/production facility
environmental sponge from refrigerated storage,environmental-factory/production facility
environmental sponge from floor,environmental-factory/production facility
environmental sponge from door,environmental-factory/production facility
environmental sponge from compactor hall,environmental-factory/production facility
environmental sponge,environmental-factory/production facility
environmental floor,environmental-factory/production facility
environmental facility,environmental-factory/production facility
environmental culture,environmental-factory/production facility
environmental (forests),environmental-factory/production facility
environmenal sponge,environmental-factory/production facility
entry access way,environmental-factory/production facility
ductwork,environmental-factory/production facility
droppings,environmental-abattoir
drip shield and housing,environmental-factory/production facility
door assembly,environmental-factory/production facility
door,environmental-factory/production facility
disposable shoes covers,environmental-factory/production facility
disposable boot covers,environmental-factory/production facility
discharge chute,environmental-factory/production facility
dicer,environmental-factory/production facility
dehydrator tray,environmental-factory/production facility
cracked floor,environmental-factory/production facility
crack in floor,environmental-factory/production facility
crack floor,environmental-factory/production facility
cooler,environmental-factory/production facility
conveyor belt and scraper,environmental-factory/production facility
conveyor belt and bucket,environmental-factory/production facility
conveyor belt,environmental-factory/production facility
conveyor,environmental-factory/production facility
conveyer belt,environmental-factory/production facility
control panel,environmental-factory/production facility
condensate drip pan,environmental-factory/production facility
compactor hall,environmental-factory/production facility
butcherblock,environmental-factory/production facility
butcher block,environmental-factory/production facility
brush inside of dryer,environmental-factory/production facility
broom,environmental-factory/production facility
bowl,environmental-factory/production facility
boots,environmental-factory/production facility
bin wheel,environmental-factory/production facility
bin liner,environmental-factory/production facility
bin,environmental-factory/production facility
belt,environmental-factory/production facility
bedding,environmental-factory/production facility
shed,environmental-animal housing
washroom,environmental
vacuum cleaner,environmental
tote,environmental
sponge,environmental
slicing machine,environmental
environmental,environmental
conveyor,environmental
bedding,environmental
provalone,dairy
jong gouda,dairy
graskaas gouda,dairy
boerenkass gouda,dairy
wound,clinical/research
vaginal,clinical/research
ulcer,clinical/research
tract,clinical/research
thoracentesis,clinical/research
surgical,clinical/research
surgery,clinical/research
suet,clinical/research
strain,clinical/research
stall gauze ,clinical/research
sinus,clinical/research
septicemia ,clinical/research
rinse,environmental
rectal,clinical/research
preputial ,clinical/research
post-intervention,clinical/research
pooled,clinical/research
platyrhynchos,clinical/research
peritoneal ,clinical/research
pericardial ,clinical/research
necropsy,clinical/research
nasal,clinical/research
nares,clinical/research
lymphnode,clinical/research
lesion,clinical/research
laboratory,clinical/research
lab,clinical/research
intistine,clinical/research
intestinal,clinical/research
incision,clinical/research
implant,clinical/research
hair,clinical/research
gastrointestinal,clinical/research
from thoracentesis,clinical/research
fetal ,clinical/research
encephalitis ,clinical/research
discharge,clinical/research
dialysis,clinical/research
dialysate,clinical/research
culturette,clinical/research
culture,clinical/research
crusting lesion ,clinical/research
colostrium,clinical/research
cloacae,clinical/research
clinical,clinical/research
cecal,clinical/research
cartilage,clinical/research
carpus,clinical/research
bursa,clinical/research
booties,clinical/research
bacterial strain,clinical/research
anserini,clinical/research
anal ,clinical/research
aliquot,clinical/research
airsacswab ,clinical/research
airsac,clinical/research
acilla,clinical/research
abortion ,clinical/research
abdominal ,clinical/research
beefhide,beef
petite treat,animal feed
for pets,animal feed
for pet,animal feed
feeding stuff,animal feed
by product,animal feed
