ExceptionWords,
acanthurus,
alces,
altus,
anas,
anis,
anoles,
anolis,
aries,
bata,
bettongia,
bites,
bitis,
bos,
branta,
branta ,
california,
callirostris,
canadensis,
canis,
catta,
catus,
cecal,
chalpata,
chanos,
chews,
chia,
chinemys,
clarias,
comtois,
cookies,
cornflakes,
dasyurus,
debris,
dhania,
dhumnades,
didelphis,
domesticus,
echis,
edulis,
egernia,
elegans,
enteritis,
esomus,
excreta,
faeces,
fajita,
familiaris,
feaces,
fecal,
feces,
felis,
feta,
flakes,
fraenata,
gallus,
gastroenteritis,
georgia,
grits,
halys ,
horchata,
horlicks,
isolepis,
kaouthia,
khatta,
kofta,
lacertilia,
leucophaeus,
livia,
lotus,
lupus,
macadamia,
madras,
meetha,
meleagris,
mississippiensis,
molasses,
morita,
mouloukhia,
multifasciata,
mutta,
nigricans,
osteitis,
ovis,
paracentesis,
parsia,
pistacia,
placenta,
pseudemoia,
puntius,
pus,
ras,
reptilia,
rumen,
salta,
santa,
sapiens,
saxatilis,
scripta,
sepsis,
slice,
sminthopsis,
SOPPERSALTA,
SOPPERTTA,
stevia,
sus,
tahinia,
taurus,
thoracentesis,
tilapia,
tis,
trachemys,
varanus,
viverrinus,
withers,
bits,
flavipes,
fines,
India,
pasta,
ibis,newly added from here
aves,
nos,
leaves,
pbs,
wipes,
chips,
penis,
brewis,
serpentes,
pelvis,
tauris,
melagris,
pisces,
Zaocys,
Semen,
